,Unnamed: 0,Body_Temperature,Heart_Rate,Pulse_Rate,SpO2,ECG,Anomaly_Type,Normal
94,94,98.31,68,67,96,604,0,0
95,95,98.11,70,71,96,537,0,0
96,96,97.93,70,70,95,536,0,0
97,97,97.86,70,71,95,513,0,0
98,98,97.83,70,70,95,564,0,0
99,99,97.77,70,69,96,574,0,0
100,100,97.83,70,70,96,553,0,0
101,101,97.84,71,71,97,559,0,0
102,102,97.98,71,72,97,567,0,0
103,103,98.06,73,73,97,576,0,0
104,104,98.22,72,72,96,545,0,0
105,105,98.06,74,74,97,592,0,0
106,106,98.16,73,74,97,534,0,0
107,107,98.2,73,72,98,576,0,0
108,108,98.3,75,74,98,520,0,0
109,109,98.2,76,77,97,526,0,0
110,110,98.07,76,75,97,542,0,0
111,111,98.25,75,76,98,700,0,0
112,112,98.46,76,77,98,516,0,0
113,113,98.26,78,78,97,503,0,0
114,114,98.47,76,77,97,552,0,0
115,115,98.37,75,74,96,548,0,0
116,116,98.49,77,78,97,540,0,0
117,117,98.71,75,76,97,572,0,0
118,118,98.68,74,75,97,561,0,0
119,119,98.69,73,73,96,552,0,0
120,120,98.89,73,74,96,546,0,0
121,121,99.0,75,74,97,553,0,0
122,122,98.85,76,75,96,553,0,0
123,123,98.62,75,76,96,543,0,0
124,124,98.78,73,74,96,496,0,0
125,125,98.81,72,71,97,521,0,0
126,126,98.97,74,74,97,549,0,0
127,127,98.95,75,75,98,562,0,0
128,128,98.91,77,77,98,535,0,0
129,129,98.93,75,74,99,549,0,0
130,130,98.81,76,76,98,485,0,0
131,131,98.75,77,77,98,547,0,0
132,132,98.96,78,77,98,544,0,0
133,133,99.0,77,76,98,556,0,0
134,134,99.0,77,78,97,515,0,0
135,135,98.89,77,77,97,486,0,0
136,136,98.88,78,79,96,476,0,0
137,137,99.0,78,79,96,502,0,0
138,138,99.0,79,80,97,560,0,0
139,139,98.93,80,80,96,436,0,0
140,140,99.0,80,80,96,509,0,0
141,141,98.85,80,81,96,514,0,0
142,142,98.66,79,79,97,521,0,0
143,143,98.81,79,78,97,488,0,0
144,144,98.74,78,78,97,530,0,0
145,145,98.63,80,79,97,496,0,0
146,146,98.5,79,78,98,489,0,0
147,147,98.51,78,78,97,501,0,0
148,148,98.29,76,75,96,551,0,0
149,149,98.34,76,77,96,526,0,0
150,150,98.25,78,79,95,532,0,0
151,151,98.19,79,79,96,517,0,0
152,152,98.23,79,79,95,506,0,0
153,153,98.22,78,78,95,511,0,0
154,154,98.37,79,78,95,512,0,0
155,155,98.5,78,78,95,518,0,0
156,156,98.44,78,79,95,517,0,0
157,157,98.64,76,75,95,552,0,0
158,158,98.59,75,74,95,561,0,0
159,159,98.47,73,73,95,562,0,0
160,160,98.55,74,74,95,554,0,0
161,161,98.48,74,73,95,700,0,0
162,162,98.6,75,76,96,486,0,0
163,163,98.78,74,73,97,562,0,0
164,164,98.75,72,73,97,524,0,0
165,165,98.74,72,73,97,566,0,0
166,166,98.7,74,74,96,575,0,0
167,167,98.64,73,73,96,607,0,0
168,168,98.89,75,74,97,578,0,0
169,169,98.95,75,75,96,589,0,0
170,170,98.77,74,73,96,594,0,0
171,171,98.53,76,77,96,596,0,0
172,172,98.41,77,76,95,609,0,0
173,173,98.65,75,75,96,564,0,0
174,174,98.57,74,74,97,577,0,0
175,175,98.43,74,75,96,572,0,0
176,176,98.23,73,74,95,550,0,0
177,177,98.2,73,73,96,558,0,0
178,178,98.34,75,76,95,552,0,0
179,179,98.28,73,73,95,606,0,0
180,180,98.22,72,73,95,535,0,0
181,181,98.4,73,72,95,560,0,0
182,182,98.6,73,72,95,623,0,0
183,183,98.57,73,72,95,578,0,0
184,184,98.5,73,73,95,596,0,0
185,185,98.7,71,70,95,558,0,0
186,186,98.83,72,73,95,561,0,0
187,187,98.95,71,70,95,589,0,0
188,188,99.0,71,72,95,586,0,0
189,189,99.0,72,73,96,578,0,0
190,190,99.0,74,75,95,563,0,0
191,191,99.0,72,72,96,559,0,0
192,192,98.91,73,74,97,554,0,0
193,193,98.85,74,74,98,524,0,0
194,194,98.96,74,74,98,581,0,0
195,195,98.79,72,71,99,534,0,0
196,196,98.88,73,72,98,543,0,0
197,197,98.89,72,73,97,509,0,0
198,198,98.71,71,71,98,508,0,0
199,199,98.86,70,69,98,574,0,0
200,200,98.75,68,67,98,547,0,0
201,201,98.65,67,68,98,579,0,0
202,202,98.66,66,65,99,548,0,0
203,203,98.57,67,68,100,539,0,0
204,204,98.38,66,67,100,547,0,0
205,205,98.45,67,67,100,548,0,0
206,206,98.63,68,67,100,700,0,0
207,207,98.5,67,66,100,445,0,0
208,208,98.72,68,68,100,547,0,0
209,209,98.9,68,68,100,583,0,0
210,210,99.0,69,69,100,554,0,0
211,211,99.0,71,72,100,578,0,0
212,212,99.0,69,69,99,549,0,0
213,213,99.0,70,69,99,551,0,0
214,214,99.0,72,71,98,566,0,0
215,215,99.0,73,73,97,519,0,0
216,216,99.0,72,72,98,542,0,0
217,217,98.88,71,71,98,527,0,0
218,218,99.0,73,74,98,516,0,0
219,219,99.0,71,72,98,571,0,0
220,220,98.9,69,70,99,555,0,0
221,221,98.75,67,68,99,556,0,0
222,222,98.7,68,69,99,539,0,0
223,223,98.52,67,66,99,599,0,0
224,224,98.75,67,66,98,596,0,0
225,225,98.77,67,68,99,559,0,0
226,226,98.86,67,66,98,527,0,0
227,227,98.83,68,68,98,522,0,0
228,228,99.0,70,71,98,544,0,0
229,229,98.99,72,73,98,518,0,0
230,230,99.0,72,73,98,524,0,0
231,231,99.0,74,73,98,514,0,0
232,232,98.83,73,73,98,550,0,0
233,233,98.81,71,70,98,494,0,0
234,234,98.67,71,70,98,537,0,0
235,235,98.42,72,72,98,555,0,0
236,236,98.32,71,70,97,518,0,0
237,237,98.37,70,69,97,490,0,0
238,238,98.25,69,68,96,507,0,0
239,239,98.28,70,71,96,536,0,0
240,240,55.3,142,123,20,470,1,0
241,241,56.4,106,5,77,683,1,0
242,242,148.9,79,116,11,541,1,0
243,243,135.4,39,130,27,38,1,0
244,244,143.1,109,26,44,587,1,0
245,245,59.7,45,139,23,161,1,0
246,246,52.1,44,61,62,435,1,0
247,247,100.1,39,54,76,585,1,0
248,248,147.5,80,74,38,893,1,0
249,249,57.3,37,141,26,391,1,0
250,250,136.6,114,70,55,168,1,0
251,251,90.0,84,108,42,719,1,0
252,252,66.4,136,15,41,644,1,0
253,253,53.5,53,62,60,27,1,0
254,254,135.0,149,56,4,328,1,0
255,255,86.3,4,110,52,562,1,0
256,256,96.3,145,148,35,878,1,0
257,257,105.0,52,32,84,439,1,0
258,258,76.3,78,23,37,581,1,0
259,259,98.4,60,138,23,908,1,0
260,260,70.4,11,124,72,946,1,0
261,261,143.4,38,119,14,263,1,0
262,262,56.8,58,59,52,133,1,0
263,263,120.0,121,138,3,977,1,0
264,264,131.0,108,89,56,962,1,0
265,265,135.2,145,104,30,775,1,0
266,266,76.6,19,149,50,90,1,0
267,267,67.8,58,68,14,499,1,0
268,268,143.3,79,23,81,168,1,0
269,269,122.2,83,45,24,376,1,0
270,270,103.1,140,103,59,708,1,0
271,271,103.8,144,144,68,638,1,0
272,272,54.3,32,122,99,949,1,0
273,273,109.9,69,33,94,678,1,0
274,274,94.7,146,95,65,217,1,0
275,275,83.3,104,80,91,983,1,0
276,276,101.8,37,149,64,915,1,0
277,277,102.3,16,119,47,621,1,0
278,278,106.0,50,28,89,834,1,0
279,279,94.8,101,0,45,223,1,0
280,280,60.9,55,5,56,225,1,0
281,281,114.5,74,139,72,558,1,0
282,282,54.7,96,128,88,462,1,0
283,283,142.8,15,81,75,60,1,0
284,284,78.2,68,77,90,414,1,0
285,285,134.4,104,112,7,54,1,0
286,286,128.0,142,101,47,446,1,0
287,287,93.9,119,30,40,94,1,0
288,288,71.4,0,66,66,486,1,0
289,289,133.6,24,121,41,858,1,0
290,290,69.0,74,80,16,929,1,0
291,291,141.3,30,58,35,969,1,0
292,292,89.3,117,90,88,893,1,0
293,293,141.7,42,24,12,385,1,0
294,294,109.6,64,4,75,44,1,0
295,295,135.5,102,44,86,943,1,0
296,296,149.6,83,40,24,384,1,0
297,297,126.3,113,67,1,167,1,0
298,298,87.3,129,127,34,514,1,0
299,299,68.5,78,51,92,457,1,0
300,300,135.4,104,2,14,727,1,0
301,301,121.4,40,64,68,183,1,0
302,302,97.9,38,96,27,315,1,0
303,303,96.5,23,38,48,826,1,0
304,304,147.5,22,136,99,983,1,0
305,305,109.8,118,4,43,762,1,0
306,306,131.3,112,43,59,601,1,0
307,307,139.6,123,101,84,729,1,0
308,308,114.4,100,83,78,737,1,0
309,309,73.5,93,109,42,291,1,0
310,310,125.3,96,54,39,976,1,0
311,311,92.1,4,77,29,282,1,0
312,312,90.0,15,53,69,396,1,0
313,313,119.5,140,24,10,561,1,0
314,314,142.1,98,73,60,840,1,0
315,315,93.5,65,0,70,663,1,0
316,316,62.6,98,11,78,416,1,0
317,317,75.6,134,116,26,713,1,0
318,318,141.1,130,69,53,623,1,0
319,319,110.8,59,124,41,247,1,0
320,320,97.6,77,29,89,90,1,0
321,321,110.4,96,139,53,475,1,0
322,322,134.0,52,131,29,255,1,0
323,323,111.2,82,119,72,677,1,0
324,324,145.1,71,0,17,862,1,0
325,325,143.6,34,103,31,821,1,0
326,326,93.2,91,86,44,21,1,0
327,327,72.5,65,37,6,801,1,0
328,328,140.3,100,68,19,537,1,0
329,329,63.4,130,149,12,861,1,0
330,330,73.8,137,78,5,664,1,0
331,331,149.3,132,128,86,783,1,0
332,332,99.2,44,29,79,115,1,0
333,333,133.1,148,105,44,624,1,0
334,334,93.5,91,15,41,492,1,0
335,335,104.9,64,111,44,232,1,0
336,336,120.1,105,16,33,15,1,0
337,337,84.5,111,124,47,754,1,0
338,338,128.7,21,117,30,165,1,0
339,339,100.1,100,128,83,492,1,0
340,340,124.2,88,71,17,849,1,0
341,341,63.2,131,22,2,48,1,0
342,342,78.2,75,30,16,700,1,0
343,343,71.2,98,136,66,76,1,0
344,344,84.1,25,131,5,149,1,0
345,345,117.4,114,79,19,391,1,0
346,346,85.6,80,140,64,9,1,0
347,347,78.8,94,41,50,718,1,0
348,348,89.3,51,28,35,598,1,0
349,349,83.4,15,1,7,753,1,0
350,350,70.7,135,16,8,570,1,0
351,351,82.4,46,1,93,834,1,0
352,352,52.1,87,74,86,509,1,0
353,353,83.0,12,62,88,842,1,0
354,354,74.8,12,86,31,489,1,0
355,355,54.8,86,37,52,179,1,0
356,356,82.5,62,130,12,461,1,0
357,357,119.9,68,130,70,664,1,0
358,358,92.8,78,112,66,296,1,0
359,359,112.1,57,105,47,36,1,0
360,360,98.9,74,74,95,529,0,0
361,361,98.95,76,77,95,548,0,0
362,362,98.71,78,79,95,548,0,0
363,363,98.51,78,77,95,527,0,0
364,364,98.7,77,76,95,572,0,0
365,365,98.86,77,77,95,595,0,0
366,366,99.0,78,77,95,571,0,0
367,367,98.98,78,79,96,560,0,0
368,368,99.0,77,77,96,604,0,0
369,369,99.0,77,76,96,576,0,0
370,370,99.0,77,77,96,700,0,0
371,371,98.94,76,76,97,483,0,0
372,372,98.72,75,74,96,567,0,0
373,373,98.73,75,75,95,615,0,0
374,374,98.89,73,72,95,599,0,0
375,375,98.79,75,74,95,545,0,0
376,376,98.82,75,76,96,576,0,0
377,377,98.96,73,72,96,595,0,0
378,378,99.0,73,73,96,581,0,0
379,379,99.0,72,72,96,597,0,0
380,380,99.0,71,72,97,579,0,0
381,381,98.76,70,70,96,599,0,0
382,382,98.66,70,70,96,599,0,0
383,383,98.79,69,70,96,597,0,0
384,384,98.98,71,72,96,622,0,0
385,385,99.0,71,71,95,600,0,0
386,386,99.0,72,71,96,531,0,0
387,387,99.0,72,72,97,600,0,0
388,388,99.0,72,72,97,583,0,0
389,389,99.0,72,72,96,579,0,0
390,390,98.87,74,74,96,562,0,0
391,391,98.72,73,72,97,553,0,0
392,392,98.49,73,74,96,558,0,0
393,393,98.26,73,72,97,572,0,0
394,394,98.47,73,74,97,530,0,0
395,395,98.52,74,75,96,568,0,0
396,396,98.42,72,71,96,554,0,0
397,397,98.6,73,74,96,570,0,0
398,398,98.47,73,72,97,525,0,0
399,399,98.7,73,73,96,576,0,0
400,400,98.48,75,76,95,524,0,0
401,401,98.41,75,75,96,531,0,0
402,402,98.58,76,75,96,559,0,0
403,403,98.81,76,77,96,567,0,0
404,404,98.98,77,78,95,547,0,0
405,405,99.0,76,75,95,537,0,0
406,406,99.0,75,75,96,540,0,0
407,407,99.0,74,75,97,700,0,0
408,408,98.76,74,73,97,497,0,0
409,409,98.88,72,72,96,540,0,0
410,410,98.96,71,70,96,529,0,0
411,411,98.71,69,69,97,539,0,0
412,412,98.93,68,69,97,558,0,0
413,413,98.86,69,69,96,571,0,0
414,414,98.91,69,69,95,563,0,0
415,415,98.86,68,67,96,567,0,0
416,416,98.92,67,67,96,573,0,0
417,417,98.81,69,70,96,533,0,0
418,418,99.0,68,69,97,546,0,0
419,419,99.0,67,68,97,573,0,0
420,420,99.0,68,67,96,557,0,0
421,421,99.0,70,69,95,501,0,0
422,422,98.95,70,69,96,579,0,0
423,423,99.0,68,67,95,545,0,0
424,424,98.78,68,67,95,581,0,0
425,425,98.68,69,70,95,560,0,0
426,426,98.5,70,70,95,562,0,0
427,427,98.36,69,68,95,508,0,0
428,428,98.32,68,67,96,564,0,0
429,429,98.45,68,68,96,564,0,0
430,430,98.54,70,69,95,549,0,0
431,431,98.5,69,69,95,510,0,0
432,432,98.51,69,68,95,536,0,0
433,433,98.68,69,70,95,547,0,0
434,434,98.43,67,67,95,501,0,0
435,435,98.19,69,68,95,513,0,0
436,436,98.37,70,70,95,520,0,0
437,437,98.5,69,70,95,482,0,0
438,438,98.66,69,68,95,509,0,0
439,439,98.79,69,69,95,511,0,0
440,440,99.0,71,70,95,528,0,0
441,441,98.81,69,70,95,503,0,0
442,442,98.66,69,70,95,536,0,0
443,443,98.41,71,72,95,542,0,0
444,444,98.43,72,73,95,506,0,0
445,445,98.55,72,71,95,656,0,0
446,446,98.38,71,72,95,445,0,0
447,447,98.44,73,73,95,487,0,0
448,448,98.24,74,74,95,450,0,0
449,449,98.02,73,73,95,528,0,0
450,450,97.93,75,74,96,520,0,0
451,451,97.86,75,74,95,532,0,0
452,452,97.88,76,75,95,545,0,0
453,453,97.86,74,75,95,486,0,0
454,454,97.66,76,77,95,532,0,0
455,455,97.67,77,76,95,532,0,0
456,456,97.49,76,76,95,551,0,0
457,457,97.57,77,76,95,553,0,0
458,458,97.54,77,76,95,528,0,0
459,459,97.31,76,77,95,534,0,0
460,460,97.09,75,76,96,568,0,0
461,461,97.0,74,75,95,600,0,0
462,462,97.0,72,71,95,535,0,0
463,463,97.0,74,74,95,540,0,0
464,464,97.0,73,72,96,553,0,0
465,465,97.0,75,75,97,522,0,0
466,466,97.0,74,75,97,576,0,0
467,467,97.12,75,74,96,554,0,0
468,468,97.0,75,75,97,602,0,0
469,469,97.0,74,74,98,590,0,0
470,470,97.08,74,73,98,572,0,0
471,471,97.28,74,73,99,592,0,0
472,472,97.5,75,74,98,589,0,0
473,473,97.35,74,75,97,558,0,0
474,474,97.59,73,74,97,573,0,0
475,475,97.78,72,73,96,597,0,0
476,476,97.73,74,75,96,587,0,0
477,477,97.79,74,75,97,614,0,0
478,478,97.82,76,77,96,536,0,0
479,479,98.03,75,76,97,598,0,0
480,480,98.27,75,75,96,593,0,0
481,481,98.45,76,76,96,598,0,0
482,482,98.53,74,74,96,616,0,0
483,483,98.69,72,71,96,581,0,0
484,484,98.92,72,73,96,579,0,0
485,485,98.71,74,74,96,583,0,0
486,486,98.83,73,73,95,700,0,0
487,487,98.61,74,74,95,487,0,0
488,488,98.68,72,71,96,549,0,0
489,489,98.7,72,71,97,592,0,0
490,490,98.94,74,74,96,539,0,0
491,491,98.77,74,75,95,573,0,0
492,492,98.66,73,72,96,570,0,0
493,493,98.63,74,75,97,562,0,0
494,494,98.79,73,73,96,557,0,0
495,495,98.57,75,75,96,540,0,0
496,496,98.81,74,73,96,575,0,0
497,497,98.99,75,74,97,563,0,0
498,498,98.89,73,73,98,542,0,0
499,499,98.65,75,76,97,575,0,0
500,500,98.42,77,78,97,558,0,0
501,501,98.42,76,77,96,563,0,0
502,502,98.66,76,75,96,579,0,0
503,503,98.42,77,77,95,588,0,0
504,504,98.64,79,80,96,563,0,0
505,505,98.63,77,78,96,532,0,0
506,506,98.82,78,79,96,595,0,0
507,507,98.93,77,77,96,583,0,0
508,508,98.69,76,77,97,573,0,0
509,509,98.45,78,79,98,548,0,0
510,510,98.66,79,80,98,573,0,0
511,511,98.78,79,78,98,528,0,0
512,512,98.73,78,79,98,528,0,0
513,513,98.63,76,77,97,552,0,0
514,514,98.54,76,75,98,551,0,0
515,515,98.67,75,74,99,560,0,0
516,516,98.87,74,73,100,536,0,0
517,517,98.95,75,76,100,529,0,0
518,518,99.0,76,75,100,535,0,0
519,519,98.88,75,75,99,567,0,0
520,520,99.0,76,77,100,495,0,0
521,521,98.88,76,77,100,549,0,0
522,522,98.73,74,73,100,563,0,0
523,523,98.69,73,72,100,563,0,0
524,524,98.54,73,73,99,512,0,0
525,525,98.54,75,76,98,531,0,0
526,526,98.34,74,74,98,537,0,0
527,527,98.59,73,72,97,538,0,0
528,528,98.57,72,72,98,545,0,0
529,529,98.56,74,75,97,524,0,0
530,530,98.62,75,74,98,505,0,0
531,531,98.49,75,74,98,529,0,0
532,532,98.24,76,77,99,516,0,0
533,533,98.21,78,79,98,700,0,0
534,534,98.16,76,77,98,467,0,0
535,535,98.14,76,75,99,479,0,0
536,536,98.34,75,75,100,500,0,0
537,537,98.1,75,74,100,539,0,0
538,538,97.95,76,77,100,490,0,0
539,539,98.06,75,74,99,526,0,0
540,540,134.7,122,147,70,809,1,0
541,541,91.4,5,147,27,288,1,0
542,542,144.9,76,30,71,689,1,0
543,543,118.6,7,3,25,354,1,0
544,544,76.2,100,82,41,717,1,0
545,545,52.9,68,19,18,539,1,0
546,546,104.3,120,73,76,742,1,0
547,547,115.7,99,98,91,826,1,0
548,548,98.8,140,72,76,368,1,0
549,549,136.2,76,50,27,639,1,0
550,550,143.9,113,85,49,878,1,0
551,551,71.7,4,143,23,799,1,0
552,552,77.5,63,118,78,838,1,0
553,553,58.1,69,123,51,3,1,0
554,554,142.6,27,5,33,441,1,0
555,555,92.0,106,128,95,992,1,0
556,556,118.5,86,121,81,528,1,0
557,557,83.8,66,142,96,426,1,0
558,558,80.4,26,1,20,37,1,0
559,559,129.0,122,107,14,909,1,0
560,560,98.3,78,99,33,480,1,0
561,561,59.6,62,34,92,731,1,0
562,562,95.0,36,56,73,96,1,0
563,563,82.2,55,29,17,63,1,0
564,564,110.2,145,34,31,139,1,0
565,565,141.5,52,92,25,864,1,0
566,566,60.5,145,59,56,244,1,0
567,567,81.2,89,8,27,274,1,0
568,568,146.3,82,122,15,598,1,0
569,569,78.8,62,67,70,671,1,0
570,570,79.7,3,52,14,792,1,0
571,571,56.8,82,94,36,103,1,0
572,572,86.7,41,41,36,679,1,0
573,573,91.6,100,134,36,236,1,0
574,574,133.6,29,120,66,279,1,0
575,575,53.4,82,25,71,915,1,0
576,576,120.0,31,75,2,699,1,0
577,577,99.9,112,6,17,634,1,0
578,578,99.2,56,9,73,983,1,0
579,579,97.5,75,21,66,40,1,0
580,580,51.5,111,124,84,594,1,0
581,581,117.0,41,58,57,210,1,0
582,582,66.9,78,117,78,76,1,0
583,583,115.7,113,1,70,839,1,0
584,584,78.7,83,100,91,195,1,0
585,585,113.2,5,61,0,560,1,0
586,586,50.4,42,26,90,662,1,0
587,587,116.4,56,99,40,662,1,0
588,588,70.3,78,36,34,915,1,0
589,589,128.1,128,74,9,154,1,0
590,590,124.9,29,99,58,837,1,0
591,591,55.2,108,94,43,633,1,0
592,592,137.2,107,50,23,212,1,0
593,593,122.5,58,120,33,507,1,0
594,594,51.5,121,20,13,212,1,0
595,595,71.1,59,85,44,600,1,0
596,596,116.9,109,33,79,342,1,0
597,597,135.6,31,64,59,241,1,0
598,598,63.1,34,84,49,450,1,0
599,599,129.1,129,97,35,982,1,0
600,600,103.9,18,106,80,178,1,0
601,601,56.5,110,143,22,457,1,0
602,602,132.7,107,121,10,820,1,0
603,603,148.7,47,109,54,36,1,0
604,604,62.1,118,9,60,19,1,0
605,605,129.2,149,111,44,299,1,0
606,606,127.0,22,118,35,160,1,0
607,607,135.7,98,12,25,424,1,0
608,608,134.5,141,56,5,934,1,0
609,609,107.8,8,6,93,564,1,0
610,610,87.2,61,95,23,548,1,0
611,611,112.4,38,82,15,169,1,0
612,612,127.7,56,62,73,426,1,0
613,613,136.8,33,36,94,248,1,0
614,614,78.6,99,117,21,815,1,0
615,615,91.7,146,128,24,741,1,0
616,616,79.0,43,133,96,599,1,0
617,617,139.0,57,18,47,961,1,0
618,618,91.0,97,116,17,258,1,0
619,619,129.3,31,30,20,819,1,0
620,620,80.4,103,115,38,98,1,0
621,621,123.5,70,58,39,436,1,0
622,622,95.1,122,11,77,540,1,0
623,623,143.3,137,97,83,728,1,0
624,624,145.7,106,104,25,783,1,0
625,625,127.4,16,8,96,96,1,0
626,626,62.8,58,91,61,547,1,0
627,627,88.3,69,11,43,240,1,0
628,628,112.6,85,138,31,531,1,0
629,629,93.1,114,91,9,92,1,0
630,630,104.2,6,130,21,127,1,0
631,631,105.6,134,86,8,799,1,0
632,632,104.7,91,135,73,85,1,0
633,633,78.0,108,149,44,982,1,0
634,634,107.0,34,37,25,329,1,0
635,635,113.3,145,145,19,797,1,0
636,636,138.5,41,64,54,429,1,0
637,637,134.7,116,1,9,271,1,0
638,638,71.8,108,137,37,825,1,0
639,639,79.2,135,7,22,519,1,0
640,640,104.7,145,54,93,576,1,0
641,641,125.7,107,68,46,458,1,0
642,642,64.8,47,21,15,453,1,0
643,643,98.2,58,29,77,574,1,0
644,644,138.9,126,76,9,423,1,0
645,645,116.0,108,72,0,647,1,0
646,646,73.2,23,18,88,853,1,0
647,647,65.2,91,4,88,665,1,0
648,648,146.9,104,7,11,123,1,0
649,649,127.8,16,97,82,81,1,0
650,650,61.8,107,148,86,71,1,0
651,651,128.6,110,117,19,406,1,0
652,652,146.7,99,75,7,626,1,0
653,653,140.0,98,50,78,29,1,0
654,654,96.9,3,38,73,799,1,0
655,655,93.2,1,102,13,559,1,0
656,656,119.9,142,104,22,963,1,0
657,657,85.9,145,78,7,770,1,0
658,658,72.1,100,147,71,118,1,0
659,659,105.3,104,62,43,737,1,0
660,660,97.11,72,72,96,519,0,0
661,661,97.32,72,73,97,539,0,0
662,662,97.28,73,72,97,523,0,0
663,663,97.06,71,72,97,565,0,0
664,664,97.21,71,72,96,595,0,0
665,665,97.42,71,70,96,578,0,0
666,666,97.51,73,74,95,576,0,0
667,667,97.67,75,76,95,552,0,0
668,668,97.83,74,75,95,621,0,0
669,669,97.64,72,71,95,562,0,0
670,670,97.66,72,72,95,700,0,0
671,671,97.83,71,70,95,487,0,0
672,672,98.0,71,70,96,596,0,0
673,673,98.02,72,73,96,538,0,0
674,674,97.91,72,73,96,643,0,0
675,675,98.14,71,71,97,611,0,0
676,676,98.04,73,74,96,577,0,0
677,677,97.92,74,74,97,568,0,0
678,678,97.92,74,75,97,564,0,0
679,679,97.93,75,74,97,600,0,0
680,680,98.06,74,75,98,619,0,0
681,681,98.16,75,76,97,576,0,0
682,682,98.4,74,73,98,609,0,0
683,683,98.15,73,72,98,574,0,0
684,684,98.13,75,74,98,578,0,0
685,685,98.29,74,74,97,599,0,0
686,686,98.38,73,74,96,572,0,0
687,687,98.58,73,72,97,579,0,0
688,688,98.57,72,73,96,621,0,0
689,689,98.73,71,70,96,603,0,0
690,690,98.68,71,72,96,553,0,0
691,691,98.84,73,73,97,554,0,0
692,692,98.7,73,72,97,579,0,0
693,693,98.91,74,75,97,559,0,0
